em,region,agg_fuel,units,year,Source,H2_emissions
H2,Global,Total,Tg H2,1750,CEDS v2024,1.480284177
H2,Global,Total,Tg H2,1751,CEDS v2024,1.484289685
H2,Global,Total,Tg H2,1752,CEDS v2024,1.488286587
H2,Global,Total,Tg H2,1753,CEDS v2024,1.492274799
H2,Global,Total,Tg H2,1754,CEDS v2024,1.496254406
H2,Global,Total,Tg H2,1755,CEDS v2024,1.500225364
H2,Global,Total,Tg H2,1756,CEDS v2024,1.504195166
H2,Global,Total,Tg H2,1757,CEDS v2024,1.508148832
H2,Global,Total,Tg H2,1758,CEDS v2024,1.512093849
H2,Global,Total,Tg H2,1759,CEDS v2024,1.516030218
H2,Global,Total,Tg H2,1760,CEDS v2024,1.519957896
H2,Global,Total,Tg H2,1761,CEDS v2024,1.523485193
H2,Global,Total,Tg H2,1762,CEDS v2024,1.52699272
H2,Global,Total,Tg H2,1763,CEDS v2024,1.530491618
H2,Global,Total,Tg H2,1764,CEDS v2024,1.533981887
H2,Global,Total,Tg H2,1765,CEDS v2024,1.537463528
H2,Global,Total,Tg H2,1766,CEDS v2024,1.540951393
H2,Global,Total,Tg H2,1767,CEDS v2024,1.544415781
H2,Global,Total,Tg H2,1768,CEDS v2024,1.547871541
H2,Global,Total,Tg H2,1769,CEDS v2024,1.551318672
H2,Global,Total,Tg H2,1770,CEDS v2024,1.554757175
H2,Global,Total,Tg H2,1771,CEDS v2024,1.568545679
H2,Global,Total,Tg H2,1772,CEDS v2024,1.582304123
H2,Global,Total,Tg H2,1773,CEDS v2024,1.59604815
H2,Global,Total,Tg H2,1774,CEDS v2024,1.609777759
H2,Global,Total,Tg H2,1775,CEDS v2024,1.62349295
H2,Global,Total,Tg H2,1776,CEDS v2024,1.637210252
H2,Global,Total,Tg H2,1777,CEDS v2024,1.650896612
H2,Global,Total,Tg H2,1778,CEDS v2024,1.664568555
H2,Global,Total,Tg H2,1779,CEDS v2024,1.67822608
H2,Global,Total,Tg H2,1780,CEDS v2024,1.69186923
H2,Global,Total,Tg H2,1781,CEDS v2024,1.698037984
H2,Global,Total,Tg H2,1782,CEDS v2024,1.704173757
H2,Global,Total,Tg H2,1783,CEDS v2024,1.710297577
H2,Global,Total,Tg H2,1784,CEDS v2024,1.716409359
H2,Global,Total,Tg H2,1785,CEDS v2024,1.722509293
H2,Global,Total,Tg H2,1786,CEDS v2024,1.728623927
H2,Global,Total,Tg H2,1787,CEDS v2024,1.734699771
H2,Global,Total,Tg H2,1788,CEDS v2024,1.740763575
H2,Global,Total,Tg H2,1789,CEDS v2024,1.746815427
H2,Global,Total,Tg H2,1790,CEDS v2024,1.752855282
H2,Global,Total,Tg H2,1791,CEDS v2024,1.754841353
H2,Global,Total,Tg H2,1792,CEDS v2024,1.756841471
H2,Global,Total,Tg H2,1793,CEDS v2024,1.758776182
H2,Global,Total,Tg H2,1794,CEDS v2024,1.760692281
H2,Global,Total,Tg H2,1795,CEDS v2024,1.762599891
H2,Global,Total,Tg H2,1796,CEDS v2024,1.764515375
H2,Global,Total,Tg H2,1797,CEDS v2024,1.766411227
H2,Global,Total,Tg H2,1798,CEDS v2024,1.768293392
H2,Global,Total,Tg H2,1799,CEDS v2024,1.770168999
H2,Global,Total,Tg H2,1800,CEDS v2024,1.772036297
H2,Global,Total,Tg H2,1801,CEDS v2024,1.785103678
H2,Global,Total,Tg H2,1802,CEDS v2024,1.7983197
H2,Global,Total,Tg H2,1803,CEDS v2024,1.811205337
H2,Global,Total,Tg H2,1804,CEDS v2024,1.824282796
H2,Global,Total,Tg H2,1805,CEDS v2024,1.837236357
H2,Global,Total,Tg H2,1806,CEDS v2024,1.850186375
H2,Global,Total,Tg H2,1807,CEDS v2024,1.863183171
H2,Global,Total,Tg H2,1808,CEDS v2024,1.875988627
H2,Global,Total,Tg H2,1809,CEDS v2024,1.888854531
H2,Global,Total,Tg H2,1810,CEDS v2024,1.90173211
H2,Global,Total,Tg H2,1811,CEDS v2024,1.910234224
H2,Global,Total,Tg H2,1812,CEDS v2024,1.918708514
H2,Global,Total,Tg H2,1813,CEDS v2024,1.927149265
H2,Global,Total,Tg H2,1814,CEDS v2024,1.935584294
H2,Global,Total,Tg H2,1815,CEDS v2024,1.944014736
H2,Global,Total,Tg H2,1816,CEDS v2024,1.952593997
H2,Global,Total,Tg H2,1817,CEDS v2024,1.961012766
H2,Global,Total,Tg H2,1818,CEDS v2024,1.969377647
H2,Global,Total,Tg H2,1819,CEDS v2024,1.977718298
H2,Global,Total,Tg H2,1820,CEDS v2024,1.986051682
H2,Global,Total,Tg H2,1821,CEDS v2024,2.002431293
H2,Global,Total,Tg H2,1822,CEDS v2024,2.018771876
H2,Global,Total,Tg H2,1823,CEDS v2024,2.03507781
H2,Global,Total,Tg H2,1824,CEDS v2024,2.051295775
H2,Global,Total,Tg H2,1825,CEDS v2024,2.067493046
H2,Global,Total,Tg H2,1826,CEDS v2024,2.083594052
H2,Global,Total,Tg H2,1827,CEDS v2024,2.099702405
H2,Global,Total,Tg H2,1828,CEDS v2024,2.115697839
H2,Global,Total,Tg H2,1829,CEDS v2024,2.131611725
H2,Global,Total,Tg H2,1830,CEDS v2024,2.147832604
H2,Global,Total,Tg H2,1831,CEDS v2024,2.164214952
H2,Global,Total,Tg H2,1832,CEDS v2024,2.180607199
H2,Global,Total,Tg H2,1833,CEDS v2024,2.197076609
H2,Global,Total,Tg H2,1834,CEDS v2024,2.21336569
H2,Global,Total,Tg H2,1835,CEDS v2024,2.229614106
H2,Global,Total,Tg H2,1836,CEDS v2024,2.246014232
H2,Global,Total,Tg H2,1837,CEDS v2024,2.262174634
H2,Global,Total,Tg H2,1838,CEDS v2024,2.27829861
H2,Global,Total,Tg H2,1839,CEDS v2024,2.294359029
H2,Global,Total,Tg H2,1840,CEDS v2024,2.310431651
H2,Global,Total,Tg H2,1841,CEDS v2024,2.326820573
H2,Global,Total,Tg H2,1842,CEDS v2024,2.343122324
H2,Global,Total,Tg H2,1843,CEDS v2024,2.359189764
H2,Global,Total,Tg H2,1844,CEDS v2024,2.375233188
H2,Global,Total,Tg H2,1845,CEDS v2024,2.391222777
H2,Global,Total,Tg H2,1846,CEDS v2024,2.406951506
H2,Global,Total,Tg H2,1847,CEDS v2024,2.422643071
H2,Global,Total,Tg H2,1848,CEDS v2024,2.4379312
H2,Global,Total,Tg H2,1849,CEDS v2024,2.453238912
H2,Global,Total,Tg H2,1850,CEDS v2024,2.469514519
H2,Global,Total,Tg H2,1851,CEDS v2024,2.482277852
H2,Global,Total,Tg H2,1852,CEDS v2024,2.497831608
H2,Global,Total,Tg H2,1853,CEDS v2024,2.514448283
H2,Global,Total,Tg H2,1854,CEDS v2024,2.532483607
H2,Global,Total,Tg H2,1855,CEDS v2024,2.549970358
H2,Global,Total,Tg H2,1856,CEDS v2024,2.567602654
H2,Global,Total,Tg H2,1857,CEDS v2024,2.584870434
H2,Global,Total,Tg H2,1858,CEDS v2024,2.602553451
H2,Global,Total,Tg H2,1859,CEDS v2024,2.620872397
H2,Global,Total,Tg H2,1860,CEDS v2024,2.641361017
H2,Global,Total,Tg H2,1861,CEDS v2024,2.656499129
H2,Global,Total,Tg H2,1862,CEDS v2024,2.672056152
H2,Global,Total,Tg H2,1863,CEDS v2024,2.688429468
H2,Global,Total,Tg H2,1864,CEDS v2024,2.704735436
H2,Global,Total,Tg H2,1865,CEDS v2024,2.722535611
H2,Global,Total,Tg H2,1866,CEDS v2024,2.744682031
H2,Global,Total,Tg H2,1867,CEDS v2024,2.753767595
H2,Global,Total,Tg H2,1868,CEDS v2024,2.766350474
H2,Global,Total,Tg H2,1869,CEDS v2024,2.785281695
H2,Global,Total,Tg H2,1870,CEDS v2024,2.813918959
H2,Global,Total,Tg H2,1871,CEDS v2024,2.842887739
H2,Global,Total,Tg H2,1872,CEDS v2024,2.863759864
H2,Global,Total,Tg H2,1873,CEDS v2024,2.88571675
H2,Global,Total,Tg H2,1874,CEDS v2024,2.894817452
H2,Global,Total,Tg H2,1875,CEDS v2024,2.910653913
H2,Global,Total,Tg H2,1876,CEDS v2024,2.922891797
H2,Global,Total,Tg H2,1877,CEDS v2024,2.941078126
H2,Global,Total,Tg H2,1878,CEDS v2024,2.955208612
H2,Global,Total,Tg H2,1879,CEDS v2024,2.980141456
H2,Global,Total,Tg H2,1880,CEDS v2024,3.011596255
H2,Global,Total,Tg H2,1881,CEDS v2024,3.031585193
H2,Global,Total,Tg H2,1882,CEDS v2024,3.057239664
H2,Global,Total,Tg H2,1883,CEDS v2024,3.072133882
H2,Global,Total,Tg H2,1884,CEDS v2024,3.089837498
H2,Global,Total,Tg H2,1885,CEDS v2024,3.102745278
H2,Global,Total,Tg H2,1886,CEDS v2024,3.134438285
H2,Global,Total,Tg H2,1887,CEDS v2024,3.166846219
H2,Global,Total,Tg H2,1888,CEDS v2024,3.223532367
H2,Global,Total,Tg H2,1889,CEDS v2024,3.24843245
H2,Global,Total,Tg H2,1890,CEDS v2024,3.329022605
H2,Global,Total,Tg H2,1891,CEDS v2024,3.371592684
H2,Global,Total,Tg H2,1892,CEDS v2024,3.389799536
H2,Global,Total,Tg H2,1893,CEDS v2024,3.395206988
H2,Global,Total,Tg H2,1894,CEDS v2024,3.404763469
H2,Global,Total,Tg H2,1895,CEDS v2024,3.462824543
H2,Global,Total,Tg H2,1896,CEDS v2024,3.484808549
H2,Global,Total,Tg H2,1897,CEDS v2024,3.509527215
H2,Global,Total,Tg H2,1898,CEDS v2024,3.544354825
H2,Global,Total,Tg H2,1899,CEDS v2024,3.614045526
H2,Global,Total,Tg H2,1900,CEDS v2024,3.666661875
H2,Global,Total,Tg H2,1901,CEDS v2024,3.727109738
H2,Global,Total,Tg H2,1902,CEDS v2024,3.794567664
H2,Global,Total,Tg H2,1903,CEDS v2024,3.918331022
H2,Global,Total,Tg H2,1904,CEDS v2024,3.959541995
H2,Global,Total,Tg H2,1905,CEDS v2024,4.063432411
H2,Global,Total,Tg H2,1906,CEDS v2024,4.110768704
H2,Global,Total,Tg H2,1907,CEDS v2024,4.298427669
